term,posting
comment,60:1
softwar,60:2
www,60:1
code,60:1
comput,60:1
schedul,60:1
frame,60:4
ea,60:1
site,60:1
webmail,60:1
substr,60:4
archiv,60:1
scienc,60:1
quebec,60:1
linux,60:1
maisonneuv,60:1
home,60:1
calendar,60:1
announc,60:1
check,60:1
staff,60:1
canada,60:1
web,60:1
blvd,60:1
enc,60:1
engin,60:1
copyright,60:1
west,60:1
support,60:8
faculti,60:1
websit,60:1
window,60:1
mail,60:1
document,60:2
ca,60:1
msdnaa,60:1
map,60:1
door,60:1
parent,60:4
index,60:1
de,60:1
quota,60:1
lab,60:5
link,60:1
address,60:1
search,60:1
directori,60:1
ait,60:7
list,60:1
email,60:1
length,60:2
concordia,60:1
quick,60:1
helpdesk,60:1
montreal,60:1
