term,posting
www,61:1
comput,61:5
mail,61:1
frame,61:4
move,61:1
substr,61:4
concordia,61:6
quebec,61:1
blvd,61:1
scienc,61:5
canada,61:6
enc,61:1
engin,61:5
west,61:1
univers,61:5
maisonneuv,61:1
document,61:2
ca,61:1
parent,61:4
faculti,61:5
de,61:1
link,61:1
address,61:1
list,61:1
length,61:2
quick,61:1
montreal,61:6
