term,posting
oper,104:9
softwar,104:1
code,104:1
ev,104:2
viru,104:1
exchang,104:1
frame,104:4
site,104:1
ec,104:1
webmail,104:1
substr,104:4
archiv,104:1
anti,104:1
file,104:1
home,104:1
comput,104:1
announc,104:1
vari,104:1
check,104:1
staff,104:1
websit,104:1
enc,104:6
engin,104:1
copyright,104:1
helpdesk,104:9
support,104:1
access,104:5
faculti,104:2
submiss,104:1
facultyhelp,104:1
document,104:2
ca,104:2
map,104:1
door,104:2
parent,104:4
advanc,104:1
memo,104:1
quota,104:1
lab,104:14
phone,104:2
electron,104:1
link,104:1
term,104:1
student,104:1
post,104:1
password,104:1
concordia,104:2
hall,104:2
search,104:1
room,104:2
hour,104:9
directori,104:1
ait,104:7
comment,104:1
sopho,104:1
length,104:2
contact,104:2
scienc,104:1
quick,104:1
chang,104:1
assign,104:1
