docId,url
0,encs.concordia.ca/index.html
1,encs.concordia.ca/research/chairs-and-awards/index.html
2,encs.concordia.ca/research/centres/index.html
3,encs.concordia.ca/research/centres/consim/index.html
4,encs.concordia.ca/research/centres/consim/equipment/index.html
5,encs.concordia.ca/research/centres/consim/schedule/index.html
6,encs.concordia.ca/research/centres/consim/news/index.html
7,encs.concordia.ca/research/centres/consim/consim-member-list/index.html
8,encs.concordia.ca/research/centres/consim/getting-started/index.html
9,encs.concordia.ca/research/centres/consim/fees/index.html
10,encs.concordia.ca/research/centres/consim/staff/index.html
11,encs.concordia.ca/research/centres/consim/floor-plan/index.html
12,encs.concordia.ca/research/centres/consim/safety/index.html
13,encs.concordia.ca/msdnaa/index.html
14,encs.concordia.ca/resources/room-bookings/index.html
15,encs.concordia.ca/resources/faculty-and-staff-directory/cse/index.html
16,encs.concordia.ca/resources/faculty-and-staff-directory/faculty-administration/index.html
17,encs.concordia.ca/resources/faculty-and-staff-directory/ciise/index.html
18,encs.concordia.ca/resources/faculty-and-staff-directory/bcee/index.html
19,encs.concordia.ca/resources/tutors-on-duty/index.html
20,encs.concordia.ca/resources/help-desk/index.html
21,encs.concordia.ca/news-and-events/get-connected/index.html
22,encs.concordia.ca/news-and-events/announcements/index.html
23,encs.concordia.ca/news-and-events/faculty-magazine/index.html
24,encs.concordia.ca/news-and-events/news-archive/index.html
25,encs.concordia.ca/news-and-events/events__event-43/index.html
26,encs.concordia.ca/future-students/index.html
27,encs.concordia.ca/future-students/visiting-and-exchange-students/visiting-students/index.html
28,encs.concordia.ca/future-students/visiting-and-exchange-students/quebec-and-other-canadian-exchanges/index.html
29,encs.concordia.ca/future-students/visiting-and-exchange-students/international-exchanges/index.html
30,encs.concordia.ca/future-students/undergraduate-education/index.html
31,encs.concordia.ca/future-students/undergraduate-education/scholarships/index.html
32,encs.concordia.ca/future-students/undergraduate-education/programs/mechanical-engineering/index.html
33,encs.concordia.ca/future-students/undergraduate-education/programs/computer-engineering/index.html
34,encs.concordia.ca/future-students/undergraduate-education/programs/what-is-engineering-and-computer-science/index.html
35,encs.concordia.ca/future-students/undergraduate-education/programs/computer-science/index.html
36,encs.concordia.ca/future-students/undergraduate-education/programs/civil-engineering/index.html
37,encs.concordia.ca/future-students/undergraduate-education/programs/software-engineering/index.html
38,encs.concordia.ca/future-students/undergraduate-education/programs/industrial-engineering/index.html
39,encs.concordia.ca/future-students/undergraduate-education/programs/co-op-programs/index.html
40,encs.concordia.ca/future-students/undergraduate-education/programs/building-engineering/index.html
41,encs.concordia.ca/future-students/undergraduate-education/programs/electrical-engineering/index.html
42,encs.concordia.ca/future-students/undergraduate-education/applying-to-encs-undergraduate-programs/index.html
43,encs.concordia.ca/future-students/undergraduate-education/applying-to-encs-undergraduate-programs/secondary-and-high-school-students/index.html
44,encs.concordia.ca/future-students/undergraduate-education/applying-to-encs-undergraduate-programs/transfer-students/index.html
45,encs.concordia.ca/future-students/graduate-education/index.html
46,encs.concordia.ca/future-students/graduate-education/scholarships/index.html
47,encs.concordia.ca/future-students/graduate-education/programs/index.html
48,encs.concordia.ca/future-students/graduate-education/programs/building-civil-and-environmental-engineering/index.html
